#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 16 13 50 180  4.0  6.0   1.4     9   6.1 125 1026.6  22.8  23.9  14.6   MM +1.4    MM
2017 04 16 12 50 170  5.0  6.0   1.3     9   5.7 133 1026.1  22.9  23.8  14.3   MM +1.3    MM
2017 04 16 11 50 170  6.0  7.0   1.5     9   5.9 127 1025.8  22.7  23.7  14.7   MM +1.0    MM
2017 04 16 10 50 180  6.0  8.0   1.3     9   5.4 137 1025.2  22.5  23.7  15.2   MM +0.3    MM
2017 04 16 09 50 180  7.0  8.0   1.3     8   5.4 118 1024.8  22.5  23.7  15.5   MM -0.3    MM
2017 04 16 08 50 160  7.0  8.0   1.4     8   5.8 121 1024.8  22.5  23.7  15.8   MM -0.8    MM
2017 04 16 07 50 170  6.0  7.0   1.4     9   5.9 119 1024.9  22.6  23.8  15.7   MM -1.3    MM
2017 04 16 06 50 160  6.0  7.0   1.4     9   5.9 107 1025.1  22.7  23.9  16.1   MM -1.2    MM
2017 04 16 05 50 170  6.0  8.0   1.2     9   5.6 111 1025.6  22.8  24.1  16.3   MM -0.9    MM
2017 04 16 04 50 170  6.0  7.0   1.3     9   6.0 109 1026.2  22.9  24.3  15.9   MM -0.4    MM
2017 04 16 03 50 170  6.0  7.0   1.3     9   6.2 110 1026.3  22.9  24.5  16.4   MM +0.0    MM
2017 04 16 02 50 170  6.0  7.0   1.2     9   5.8 123 1026.5  23.0  24.6  16.3   MM +0.5    MM
2017 04 16 01 50 170  5.0  6.0   1.3     9   6.1 114 1026.6  23.1  24.6  15.7   MM +0.4    MM
2017 04 16 00 50 180  6.0  7.0   1.4     9   6.1 116 1026.2  23.1  24.6  15.3   MM +0.0    MM
2017 04 15 23 50 180  6.0  7.0   1.5     9   6.5 126 1026.0  23.2  24.6  15.6   MM -0.3    MM
2017 04 15 22 50 180  5.0  7.0   1.4     9   6.2 123 1026.2  23.6  24.7  15.4   MM -0.7    MM
2017 04 15 21 50 170  5.0  6.0   1.5     8   6.2 132 1026.3  23.7  24.7  15.5   MM -1.2    MM
2017 04 15 20 50 170  5.0  6.0   1.5     9   6.5 109 1026.3  23.7  24.7  15.5   MM -1.6    MM
2017 04 15 19 50 160  4.0  5.0   1.5     9   6.4 119 1026.9  23.8  24.7  15.3   MM -1.3    MM
2017 04 15 18 50 160  4.0  5.0   1.4     9   6.5 126 1027.5  23.8  24.7  14.7   MM -0.8    MM
2017 04 15 17 50 150  4.0  5.0   1.4     8   6.4 117 1027.9  23.7  24.7  15.1   MM -0.4    MM
2017 04 15 16 50 140  4.0  5.0   1.5     9   6.6 132 1028.2  23.7  24.6  14.5   MM +0.5    MM
2017 04 15 15 50 140  4.0  5.0   1.5     9   6.5 113 1028.3  23.6  24.5  15.2   MM +1.0    MM
2017 04 15 14 50 110  5.0  6.0   1.3     8   6.1 103 1028.3  23.6  24.5  14.9   MM +1.6    MM
2017 04 15 13 50 120  5.0  6.0   1.4     8   6.0 112 1027.7  23.7  24.4  14.2   MM +1.8    MM
