#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 09 12 50 100  3.0  4.0   0.4     7   5.9  91 1022.3  18.9  21.9   3.9   MM +2.0    MM
2017 04 09 11 50  60  2.0  4.0   0.5     8   6.0  89 1021.6  18.8  21.8   4.1   MM +1.6    MM
2017 04 09 10 50  80  2.0  3.0   0.4     7   5.6 100 1020.9  17.7  21.8   2.7   MM +1.0    MM
2017 04 09 09 50  80  2.0  3.0   0.4     8   5.6  89 1020.3  17.6  21.8   3.3   MM +0.3    MM
2017 04 09 08 50  60  1.0  1.0   0.4     7   5.2  80 1020.0  17.5  21.8   2.1   MM -0.3    MM
2017 04 09 07 50 120  1.0  2.0   0.4     7   5.2  98 1019.9  17.3  21.8   1.5   MM +0.0    MM
2017 04 09 06 50 120  2.0  2.0   0.4     7   5.1 118 1020.0  17.3  21.8   2.1   MM +0.0    MM
2017 04 09 05 50  MM  0.0  1.0   0.4     6   5.0  85 1020.3  17.0  21.8   2.6   MM +0.7    MM
2017 04 09 04 50 220  1.0  2.0   0.5     7   4.7 123 1020.1  16.9  21.8   1.8   MM +0.8    MM
2017 04 09 03 50  MM  0.0  1.0   0.5     5   4.7  65 1019.9  16.7  21.8   1.3   MM +1.3    MM
2017 04 09 02 50 250  2.0  2.0   0.5     5   4.7  68 1019.6  16.7  21.8   1.3   MM +1.3    MM
2017 04 09 01 50 230  2.0  2.0   0.5     5   4.7  62 1019.3  16.5  21.9   1.4   MM +1.2    MM
2017 04 09 00 50 240  2.0  3.0   0.5     5   4.6  54 1018.6  16.3  21.9   1.0   MM +0.4    MM
2017 04 08 23 50 190  2.0  4.0   0.6     5   4.7  49 1018.3  16.1  21.9   0.9   MM +0.0    MM
2017 04 08 22 50 200  2.0  2.0   0.7     5   4.6  52 1018.1  16.4  22.0  -0.2   MM -0.4    MM
2017 04 08 21 50 130  2.0  3.0   0.8     6   4.7  40 1018.2  15.6  22.0   0.8   MM -1.2    MM
2017 04 08 20 50 110  3.0  5.0   0.8     6   4.6  47 1018.1  15.3  22.0   0.9   MM -1.5    MM
2017 04 08 19 50  80  3.0  5.0   0.9     6   4.6  42 1018.5  15.0  22.0   1.1   MM -1.2    MM
2017 04 08 18 50  30  3.0  4.0   1.0     6   4.5  38 1019.4  14.7  21.9  -0.8   MM -0.4    MM
2017 04 08 17 50  20  4.0  7.0   1.1     6   4.5  44 1019.6  14.5  21.9   0.5   MM +0.0    MM
2017 04 08 16 50  10  6.0  9.0   1.2     6   4.5  45 1019.7  14.5  21.9   0.8   MM +0.6    MM
2017 04 08 15 50  20  7.0  9.0   1.2     6   4.4  28 1019.8  14.5  21.9   2.0   MM +1.3    MM
2017 04 08 14 50  10  7.0 10.0   1.4     6   4.6  36 1019.6  14.5  21.9   1.5   MM +1.8    MM
2017 04 08 13 50  20  8.0 10.0   1.4     6   4.6  33 1019.1  14.7  21.9   2.5   MM +2.1    MM
2017 04 08 12 50  20  8.0 11.0   1.3     5   4.5  36 1018.5  14.9  21.9   2.8   MM +2.6    MM
2017 04 08 11 50  20  9.0 11.0   1.3     5   4.5  23 1017.8  14.9  21.9   3.0   MM +2.5    MM
2017 04 08 10 50  20  9.0 10.0   1.3     5   4.3  17 1017.0  14.9  21.9   3.7   MM +2.0    MM
2017 04 08 09 50  40  9.0 11.0   1.2     4   4.2   1 1015.9  15.2  21.9   5.2   MM +1.1    MM
2017 04 08 08 50  30  9.0 11.0   1.1     6   4.3 225 1015.3  15.7  22.0   6.0   MM +0.3    MM
2017 04 08 07 50 350  8.0 10.0   1.2     6   4.4 231 1015.0  16.6  22.0   4.8   MM +0.0    MM
2017 04 08 06 50 310  8.0 11.0   1.1     6   4.5 218 1014.8  17.6  22.1   5.0   MM +0.3    MM
2017 04 08 05 50 300  8.0 10.0   1.3     7   4.5 201 1015.0  17.9  22.2   5.3   MM +0.9    MM
2017 04 08 04 50 300  9.0 11.0   1.3     6   4.5 231 1014.8  18.1  22.2   4.6   MM +1.1    MM
2017 04 08 03 50 290 10.0 13.0   1.4     5   4.5 249 1014.5  18.4  22.2   3.9   MM +2.0    MM
2017 04 08 02 50 290 11.0 13.0   1.6     6   4.6 222 1014.1  18.5  22.2   3.9   MM +2.6    MM
2017 04 08 01 50 290 10.0 12.0   1.5     5   4.5 298 1013.7  18.6  22.3   3.1   MM +3.0    MM
2017 04 08 00 50 300 10.0 13.0   1.7     6   4.6 231 1012.5  18.7  22.4   3.6   MM +2.1    MM
2017 04 07 23 50 300 10.0 14.0   1.7     6   4.7 232 1011.5  18.5  22.4   3.1   MM +1.5    MM
2017 04 07 22 50 300 11.0 13.0   1.7     6   4.6 236 1010.7  18.6  22.4   3.9   MM +0.6    MM
2017 04 07 21 50 290 10.0 13.0   1.6     6   4.6 247 1010.4  18.4  22.3   3.5   MM -0.0    MM
2017 04 07 20 50 290  9.0 12.0   1.6     6   4.7 252 1010.0  17.7  22.3   4.0   MM -1.1    MM
2017 04 07 19 50 270  9.0 13.0   1.7     6   4.7 254 1010.1  16.5  22.2   4.9   MM -1.7    MM
2017 04 07 18 50 270 10.0 13.0   1.4     6   4.5 254 1010.5  15.7  22.0   4.5   MM -1.6    MM
2017 04 07 17 50 270  9.0 12.0   1.5     7   4.7 242 1011.1  15.0  21.8   3.2   MM -1.0    MM
2017 04 07 16 50 270 10.0 12.0   1.7     7   5.0 239 1011.8  14.6  21.4   4.0   MM +0.0    MM
2017 04 07 15 50 280 10.0 12.0   2.1     6   5.2 251 1012.1  14.2  21.2   4.0   MM +0.4    MM
2017 04 07 14 50 280 12.0 14.0   2.2     6   5.3 266 1012.1  14.4  21.0   4.6   MM +0.6    MM
2017 04 07 13 50 280 13.0 16.0   2.2     7   5.0 243 1011.9  14.5  20.9   5.0   MM +1.2    MM
2017 04 07 12 50 280 14.0 17.0   2.4     7   5.1 254 1011.7  14.9  21.3   5.1   MM +1.2    MM
2017 04 07 11 50 290 15.0 17.0   2.6     7   5.2 251 1011.5  15.0  21.4   5.3   MM +1.3    MM
2017 04 07 10 50 280 15.0 18.0   2.5     7   5.2 254 1010.7  14.9  21.7   5.3   MM +0.3    MM
2017 04 07 09 50 280 14.0 17.0   2.6     7   5.4 246 1010.5  15.1  21.5   5.5   MM -0.0    MM
2017 04 07 08 50 290 15.0 18.0   2.5     7   5.4 261 1010.2  15.0  21.9   5.6   MM -0.3    MM
2017 04 07 07 50 300 14.0 17.0   2.6     7   5.5 252 1010.4  15.0  21.8   5.5   MM +0.0    MM
2017 04 07 06 50 290 15.0 19.0   2.6     7   5.6 244 1010.3  14.7  21.0   4.7   MM +0.4    MM
2017 04 07 05 50 280 14.0 17.0   2.6     7   5.6 248 1010.5  15.4  20.3   5.6   MM +0.9    MM
2017 04 07 04 50 280 14.0 18.0   2.7     7   5.6 240 1010.4  16.2  20.7   6.4   MM +1.2    MM
2017 04 07 03 50 280 15.0 18.0   2.7     7   5.5 210 1009.9  16.8  20.6   5.7   MM +2.0    MM
2017 04 07 02 50 290 14.0 18.0   2.6     7   5.5 224 1009.6  17.6  20.7   6.4   MM +2.7    MM
2017 04 07 01 50 290 14.0 18.0   2.4     7   5.4 230 1009.2  18.4  20.9   7.4   MM +3.3    MM
2017 04 07 00 50 280 13.0 17.0   2.3     7   5.2 232 1007.9  19.6  21.2   8.1   MM +2.5    MM
2017 04 06 23 50 270 13.0 16.0   2.5     7   5.5 225 1006.9  20.0  21.7   8.7   MM +1.8    MM
2017 04 06 22 50 260 14.0 16.0   2.5     7   5.5 234 1005.9  20.2  22.0   7.7   MM +1.2    MM
2017 04 06 21 50 260 14.0 17.0   2.6     8   5.5 226 1005.4  20.3  22.1   8.5   MM -0.0    MM
2017 04 06 20 50 250 15.0 19.0   3.2     7   5.9 228 1005.1  20.1  22.0   7.8   MM -0.6    MM
2017 04 06 19 50 240 15.0 19.0   3.0     8   5.7 231 1004.7  19.4  21.9   9.3   MM -1.4    MM
2017 04 06 18 50 240 15.0 18.0   2.8     7   5.7 247 1005.5  19.1  21.8   9.1   MM -1.0    MM
2017 04 06 17 50 250 15.0 18.0   2.7     7   5.5 247 1005.7  18.8  21.9   9.1   MM -0.8    MM
2017 04 06 16 50 250 14.0 17.0   2.7     6   5.5 253 1006.1  18.7  22.0   8.6   MM +0.4    MM
2017 04 06 15 50 260 14.0 18.0   2.3     7   5.3 176 1006.5  18.5  21.9  10.4   MM +1.1    MM
2017 04 06 14 50 250 13.0 16.0   2.1     7   4.9 189 1006.5  18.8  21.8  12.2   MM +1.9    MM
2017 04 06 13 50 250 14.0 17.0   2.1     7   5.0 179 1005.7  20.2  21.9  13.1   MM +0.6    MM
2017 04 06 12 50 250 13.0 16.0   2.5     7   5.5 180 1005.4  21.5  22.0  18.2   MM +1.2    MM
2017 04 06 11 50 210 13.0 15.0   1.9     6   4.8 186 1004.6  22.5  22.2  20.7   MM -0.5    MM
2017 04 06 10 50 210 12.0 14.0   1.6     7   4.9 171 1005.1  22.9  22.4  20.7   MM -0.8    MM
2017 04 06 09 50 180 10.0 13.0   1.6     6   4.3 165 1004.2  21.4  22.6  20.2   MM -3.0    MM
2017 04 06 08 50 210 16.0 20.0   1.0     6   4.3 145 1005.1  23.6  22.6  21.3   MM -4.1    MM
2017 04 06 07 50 140  9.0 11.0   1.0     6   4.2 127 1005.9  22.4  22.5  20.7   MM -5.0    MM
2017 04 06 06 50 120  9.0 10.0   0.9     6   4.1 133 1007.2  21.8  22.4  19.0   MM -4.9    MM
2017 04 06 05 50 130  7.0  8.0   0.9     6   4.5 132 1009.2  21.2  22.1  19.1   MM -4.7    MM
2017 04 06 04 50 120  6.0  7.0   1.0     5   4.6 208 1010.9  21.0  22.0  19.4   MM -2.0    MM
2017 04 06 03 50  80  4.0  5.0   1.0     5   4.4 141 1012.1  19.9  21.9  19.3   MM +0.0    MM
2017 04 06 02 50 310  7.0  9.0   1.0     6   4.1 132 1013.9  19.4  21.9  19.4   MM +2.2    MM
2017 04 06 01 50 310 13.0 21.0   1.0     7   4.6 129 1012.9  19.7  22.1  18.6   MM +1.5    MM
2017 04 06 00 50 180  5.0  6.0   0.9     7   4.6 116 1011.9  24.0  22.4  23.2   MM -0.0    MM
2017 04 05 23 50 190  7.0  7.0   1.0     7   4.4 139 1011.7  24.1  22.9  22.9   MM +0.3    MM
2017 04 05 22 50 190  7.0  9.0   1.1     7   4.4 139 1011.4  24.2  23.0  22.8   MM +0.4    MM
2017 04 05 21 50 200  7.0  9.0   1.0     6   4.3 134 1011.7  24.2  22.9  22.6   MM -0.0    MM
2017 04 05 20 50 200  7.0  8.0   0.9     6   4.6 146 1011.4  24.5  23.3  22.8   MM -1.3    MM
2017 04 05 19 50 180  6.0  6.0   0.8     6   5.0 149 1011.0  24.5  23.4  23.3   MM -2.1    MM
2017 04 05 18 50 180  4.0  5.0   0.8     6   5.1 158 1011.8  24.5  23.4  22.6   MM -1.8    MM
2017 04 05 17 50 180  3.0  4.0   0.9     6   5.0 162 1012.7  24.2  23.2  21.8   MM -1.7    MM
2017 04 05 16 50 180  5.0  5.0   0.9     6   4.6 177 1013.1  24.0  23.0  21.1   MM -1.5    MM
2017 04 05 15 50 180  6.0  7.0   1.0     6   4.8 158 1013.6  23.8  22.9  21.4   MM -0.9    MM
2017 04 05 14 50 200  7.0  8.0   1.1     7   5.1 169 1014.4  23.5  22.8  20.8   MM +0.3    MM
2017 04 05 13 50 200  6.0  7.0   1.1     7   5.0 164 1014.6  23.1  22.7  21.2   MM +1.6    MM
2017 04 05 12 50 210  5.0  6.0   1.2     7   5.2 171 1014.5  22.9  22.6  21.1   MM +2.2    MM
2017 04 05 11 50 230  6.0  7.0   1.2     7   5.0 167 1014.1  22.7  22.7  20.7   MM +2.5    MM
2017 04 05 10 50 230  6.0  6.0   1.3     6   5.1 199 1013.0  22.4  22.7  20.6   MM +1.5    MM
2017 04 05 09 50 230  7.0  8.0   1.5     7   5.2 174 1012.3  22.1  22.7  20.7   MM +0.8    MM
2017 04 05 08 50 250  8.0  9.0   1.9     6   5.2 196 1011.6  22.2  22.7  20.4   MM -0.0    MM
2017 04 05 07 50 240  9.0 11.0   1.8     7   5.0 191 1011.5  22.5  22.7  20.2   MM -0.8    MM
2017 04 05 06 50 240  9.0 10.0   1.9     7   5.0 175 1011.5  22.5  22.6  20.4   MM -0.9    MM
2017 04 05 05 50 230 10.0 12.0   1.8     7   5.2 189 1011.8  22.6  22.6  20.2   MM -0.7    MM
2017 04 05 04 50 220 10.0 12.0   1.7     7   5.6 180 1012.3  22.8  22.5  20.7   MM +0.0    MM
2017 04 05 03 50 220  7.0  8.0   1.8     7   5.9 175 1012.4  22.5  22.2  21.8   MM +0.8    MM
2017 04 05 02 50 220  7.0  8.0   1.6     7   5.1 173 1012.5  22.0  21.9  21.0   MM +1.4    MM
2017 04 05 01 50 230  7.0  8.0   1.6     7   5.0 173 1012.5  21.9  21.8  20.2   MM +2.0    MM
2017 04 05 00 50 240  9.0 11.0   1.6     8   4.9 170 1011.6  22.2  21.7  19.5   MM +0.6    MM
2017 04 04 23 50 220 10.0 12.0   1.6     8   4.8 163 1011.1  22.3  21.6  19.7   MM +0.3    MM
2017 04 04 22 50 210 11.0 13.0   1.6     8   5.1 163 1010.5  22.4  21.4  19.6   MM -0.3    MM
2017 04 04 21 50 230 10.0 12.0   1.7     7   5.0 185 1011.0  21.9  21.1  19.1   MM -0.3    MM
2017 04 04 20 50 240  9.0 11.0   1.7     8   5.2 169 1010.8  21.9  20.6  18.3   MM -1.1    MM
2017 04 04 19 50 230 10.0 12.0   1.8     7   5.2 162 1010.8  21.9  20.6  19.2   MM -1.2    MM
2017 04 04 18 50 230 10.0 11.0   1.7     8   5.1 162 1011.3  21.6  20.5  18.6   MM -1.0    MM
2017 04 04 17 50 220  9.0 10.0   1.6     7   5.3 152 1011.9  21.0  20.5  19.2   MM +0.0    MM
2017 04 04 16 50 240  8.0  9.0   1.5     8   5.0 151 1012.0  20.6  20.3  19.0   MM +0.4    MM
2017 04 04 15 50 250  8.0  9.0   1.6     7   5.2 159 1012.3  20.8  20.1  18.8   MM +0.6    MM
2017 04 04 14 50 240  8.0 10.0   1.4     8   5.5 143 1012.1  21.3  20.1  18.4   MM +0.7    MM
2017 04 04 13 50 240  5.0  6.0   1.6     8   5.8 136 1011.6  21.2  20.4  18.2   MM +0.7    MM
2017 04 04 12 50 250  5.0  5.0   1.7     8   5.7 149 1011.7  21.4  20.6  18.1   MM +2.0    MM
2017 04 04 11 50 240  5.0  6.0   1.7     8   5.6 164 1011.4  21.7  21.1  18.1   MM +2.1    MM
2017 04 04 10 50 240  7.0  9.0   1.7     8   5.4 169 1010.9  22.2  21.8  17.6   MM +1.6    MM
2017 04 04 09 50 220  9.0 11.0   2.1     7   5.7 169 1009.7  22.1  22.3  17.4   MM -0.0    MM
2017 04 04 08 50 220  8.0 10.0   2.3     7   5.9 164 1009.3  22.9  22.8  18.7   MM +2.7    MM
2017 04 04 07 50 210  9.0 11.0   2.3     7   5.5 186 1009.3  23.2  23.0  19.3   MM +1.7    MM
2017 04 04 06 50 220 10.0 12.0   2.6     7   5.7 179 1009.6  23.4  23.1  19.7   MM +0.8    MM
2017 04 04 05 50 180 13.0 15.0   2.8     8   5.7 173 1006.6  23.9  23.2  18.1   MM -3.7    MM
2017 04 04 04 50 160 14.0 16.0   2.6     7   5.6 177 1007.6  22.6  23.1  20.3   MM -4.0    MM
2017 04 04 03 50 160 14.0 17.0   2.4     7   5.4 174 1008.8  21.6  23.0  20.1   MM -4.6    MM
2017 04 04 02 50 160 12.0 13.0   2.2     7   5.6 166 1010.3  20.5  22.9  19.4   MM -0.6    MM
2017 04 04 01 50 130  6.0  8.0   2.2     7   5.7 170 1011.6  18.8  22.8  18.6   MM +0.6    MM
2017 04 04 00 50 260  8.0 10.0   2.5     7   5.7 159 1013.4  18.7  23.0  18.7   MM +2.2    MM
2017 04 03 23 50 170 11.0 13.0   2.6     7   5.6 170 1010.9  23.5  23.2  20.2   MM -1.7    MM
2017 04 03 22 50 160 12.0 14.0   2.4     7   5.6 176 1011.0  23.5  23.3  19.9   MM -2.2    MM
2017 04 03 21 50 160 12.0 15.0   2.4     7   5.6 158 1011.2  23.5  23.3  19.3   MM -2.7    MM
2017 04 03 20 50 170 11.0 14.0   2.3     6   5.3 163 1012.6  23.6  23.4  18.3   MM -2.4    MM
2017 04 03 19 50 160 12.0 14.0   1.9     6   5.1 167 1013.2  23.3  23.5  19.1   MM -2.4    MM
2017 04 03 18 50 160 12.0 14.0   2.0     6   5.1 160 1013.9  23.3  23.5  17.6   MM -3.0    MM
2017 04 03 17 50 160 11.0 13.0   1.8     6   5.0 173 1015.0  23.2  23.5  17.1   MM -2.7    MM
2017 04 03 16 50 160 11.0 13.0   1.9     6   4.9 171 1015.6  23.2  23.5  16.3   MM -1.5    MM
2017 04 03 15 50 150 10.0 12.0   1.8     6   5.0 174 1016.9  23.2  23.4  16.0   MM -0.5    MM
2017 04 03 14 50 160 10.0 12.0   1.8     5   4.8 185 1017.7  23.2  23.4  16.0   MM +0.4    MM
2017 04 03 13 50 160  9.0 11.0   1.5     5   4.8 167 1017.1  23.3  23.4  16.4   MM +0.0    MM
2017 04 03 12 50 160  9.0 11.0   1.6     5   4.9 146 1017.4  23.3  23.4  16.9   MM +0.4    MM
2017 04 03 11 50 160  9.0 10.0   1.6     5   4.8 130 1017.3  23.3  23.4  16.8   MM +0.8    MM
2017 04 03 10 50 170  9.0 10.0   1.5     4   4.8 177 1017.3  23.2  23.4  16.0   MM +0.6    MM
2017 04 03 09 50 170  8.0  9.0   1.5    10   5.2  89 1017.0  23.2  23.4  16.2   MM -0.0    MM
2017 04 03 08 50 170  7.0  8.0   1.4     6   5.2  71 1016.5  23.2  23.5  17.3   MM -1.2    MM
2017 04 03 07 50 170  7.0  8.0   1.3    10   5.2  82 1016.7  23.2  23.5  17.7   MM -1.4    MM
2017 04 03 06 50 150  6.0  7.0   1.3    10   5.2  76 1017.2  23.3  23.5  17.4   MM -1.3    MM
2017 04 03 05 50 130  5.0  6.0   1.4     9   5.2  76 1017.7  23.1  23.5  19.0   MM -0.8    MM
2017 04 03 04 50 100  7.0  8.0   1.4     7   5.1  48 1018.1  22.7  23.5  19.6   MM -0.4    MM
2017 04 03 03 50  90  7.0  9.0   1.3     7   4.7  34 1018.5  22.3  23.5  19.9   MM +0.0    MM
2017 04 03 02 50  90  8.0 10.0   1.4     7   4.7  43 1018.5  22.0  23.5  19.7   MM +0.0    MM
2017 04 03 01 50  90  8.0 10.0   1.5     7   4.7  45 1018.5  21.5  23.5  19.5   MM +0.0    MM
2017 04 03 00 50  80  8.0 10.0   1.6     6   4.9  46 1018.7  21.5  23.6  19.0   MM +0.0    MM
2017 04 02 23 50  80  8.0  9.0   1.7     6   4.9  41 1018.7  21.5  23.6  18.8   MM +0.0    MM
2017 04 02 22 50  80  9.0 10.0   1.8     7   5.1  40 1018.5  21.4  23.6  18.8   MM -0.8    MM
2017 04 02 21 50  70  9.0 10.0   1.7     6   4.9  41 1018.5  21.5  23.6  18.6   MM -1.3    MM
2017 04 02 20 50  70  8.0 10.0   1.6     6   4.9  35 1018.7  21.5  23.6  18.9   MM -1.2    MM
2017 04 02 19 50  60  9.0 10.0   1.6     6   4.8  41 1019.3  21.2  23.7  18.4   MM -0.6    MM
2017 04 02 18 50  50  8.0 10.0   1.4     6   4.8  30 1019.8  21.4  23.6  18.7   MM +0.0    MM
2017 04 02 17 50  50  8.0  9.0   1.3     6   4.7  25 1019.9  21.5  23.6  18.8   MM +0.0    MM
2017 04 02 16 50  50  8.0  9.0   1.2     5   4.7  18 1019.9  21.3  23.6  18.7   MM   MM    MM
2017 04 02 15 50  40  8.0  9.0   1.1     5   4.5   7 1020.0  20.6  23.6  19.2   MM +1.0    MM
2017 04 02 14 50  50  8.0 10.0   0.9     4   4.4  16 1020.0  20.2  23.5  17.8   MM +1.6    MM
2017 04 02 12 50  40  8.0 10.0   0.7    11   4.4  78 1019.0  19.7  23.4  15.8   MM +1.9    MM
2017 04 02 11 50  30  7.0  8.0   0.6    12   5.6  90 1018.4  19.6  23.4  15.5   MM +1.9    MM
2017 04 02 10 50 350  5.0  6.0   0.6    13   6.0  91 1017.8  20.3  23.5  16.4   MM +1.5    MM
2017 04 02 09 50 300  4.0  5.0   0.6    11   6.2 116 1017.1  21.6  23.5  14.9   MM +0.4    MM
2017 04 02 08 50 240  5.0  6.0   0.7    12   5.9 122 1016.5  21.7  23.6  16.0   MM -0.4    MM
2017 04 02 07 50 240  5.0  6.0   0.7    11   6.0 149 1016.3  21.8  23.6  15.3   MM -0.9    MM
2017 04 02 06 50 230  5.0  6.0   0.7    12   5.9 134 1016.7  21.7  23.6  16.3   MM -0.4    MM
2017 04 02 05 50 230  5.0  6.0   0.7    11   5.6 107 1016.9  21.6  23.7  16.7   MM +0.0    MM
2017 04 02 04 50 230  6.0  7.0   0.8     7   5.8 165 1017.2  21.8  23.7  16.1   MM +0.8    MM
2017 04 02 03 50 220  6.0  7.0   0.7     7   5.2 181 1017.1  21.8  23.7  15.2   MM +1.5    MM
2017 04 02 02 50 230  5.0  7.0   0.8    10   5.7 115 1016.9  21.9  23.8  14.8   MM +1.7    MM
2017 04 02 01 50 220  6.0  6.0   0.7     7   5.2 157 1016.4  21.6  23.7  14.1   MM +2.0    MM
2017 04 02 00 50 220  6.0  6.0   0.8    12   5.4  87 1015.6  21.4  23.7  13.9   MM +1.4    MM
2017 04 01 23 50 210  6.0  6.0   0.7     8   5.0 146 1015.2  21.2  23.6  13.3   MM +0.9    MM
2017 04 01 22 50 200  6.0  7.0   0.8    10   5.2 119 1014.4  21.2  23.6  12.4   MM +0.0    MM
2017 04 01 21 50 210  6.0  7.0   0.8    11   5.2 141 1014.2  20.7  23.6  11.7   MM -0.8    MM
2017 04 01 20 50 210  7.0  8.0   0.8     7   5.5 149 1014.3  20.3  23.7  11.6   MM -0.8    MM
2017 04 01 19 50 210  5.0  7.0   0.8    10   5.6 121 1014.5  19.9  23.8  11.1   MM -0.7    MM
2017 04 01 18 50 230  3.0  5.0   0.9     7   5.5 152 1015.0  19.9  24.0   9.6   MM -0.4    MM
2017 04 01 17 50 260  2.0  3.0   0.9    10   5.6 100 1015.1  19.7  23.8   9.8   MM +0.0    MM
2017 04 01 16 50 280  2.0  3.0   0.9     7   5.4 156 1015.2  19.5  23.6   9.4   MM +0.0    MM
2017 04 01 15 50 320  2.0  4.0   0.9     8   5.4 140 1015.4  19.5  23.5   9.4   MM +0.8    MM
2017 04 01 14 50 340  4.0  5.0   0.9     7   5.4 161 1015.3  19.3  23.4  10.1   MM +1.5    MM
2017 04 01 13 50 330  5.0  7.0   1.0     8   5.4 162 1015.0  19.4  23.1  10.3   MM +2.2    MM
2017 04 01 12 50 330  5.0  6.0   0.9     7   5.1 157 1014.6  19.4  23.0  11.0   MM +2.8    MM
2017 04 01 11 50 320  5.0  7.0   1.0     7   5.1 158 1013.8  19.6  22.8  11.5   MM +2.9    MM
2017 04 01 10 50 330  6.0  7.0   1.0     8   5.1 159 1012.8  19.6  22.6  11.5   MM +2.5    MM
2017 04 01 09 50 330  7.0  8.0   1.1     8   4.7 164 1011.8  19.9  22.7  11.5   MM +1.6    MM
2017 04 01 08 50 320  8.0 10.0   1.2     8   4.9 154 1010.9  20.5  22.8  11.4   MM +1.1    MM
2017 04 01 07 50 300  8.0 10.0   1.1     8   4.8 159 1010.3  21.3  22.9  12.0   MM +1.0    MM
2017 04 01 06 50 300  7.0  8.0   1.2     8   4.9 149 1010.2  21.7  23.0  12.8   MM +1.4    MM
2017 04 01 05 50 310  9.0 11.0   1.2     8   4.7 154 1009.8  22.2  22.9  13.7   MM +1.3    MM
2017 04 01 04 50 300  9.0 11.0   1.3    10   5.0 112 1009.3  22.9  23.1  15.8   MM +1.2    MM
2017 04 01 03 50 270  7.0  9.0   1.4     8   5.1 147 1008.8  22.9  23.2  17.4   MM +1.9    MM
2017 04 01 02 50 250  8.0  9.0   1.4     7   5.0 165 1008.5  22.7  23.1  18.2   MM +2.2    MM
2017 04 01 01 50 230  8.0  9.0   1.5     7   4.9 146 1008.1  22.9  22.9  20.0   MM +2.5    MM
2017 04 01 00 50 210  9.0 11.0   1.5     8   5.0 132 1006.9  22.8  22.8  20.3   MM +1.1    MM
2017 03 31 23 50 210  9.0 11.0   1.6     6   5.0 186 1006.3  22.6  22.6  20.3   MM +0.3    MM
2017 03 31 22 50 210  9.0 11.0   1.6     6   5.0 189 1005.6  22.4  21.8  20.0   MM -0.9    MM
2017 03 31 21 50 200  9.0 10.0   1.8     6   5.3 179 1005.8  22.1  21.6  19.9   MM -1.6    MM
2017 03 31 20 50 210  9.0 10.0   1.9     7   5.3 177 1006.0  22.2  21.5  19.7   MM -1.9    MM
2017 03 31 19 50 210  8.0 10.0   2.1     7   5.6 164 1006.5  21.9  21.5  19.9   MM -2.1    MM
2017 03 31 18 50 220  9.0 10.0   2.2     7   5.5 178 1007.4  21.9  21.4  19.5   MM -1.9    MM
2017 03 31 17 50 220  9.0 12.0   2.1     8   5.6 141 1007.9  21.7  21.4  19.5   MM -1.3    MM
2017 03 31 16 50 230  9.0 11.0   2.0     8   5.6 127 1008.6  21.5  21.6  19.6   MM -0.3    MM
2017 03 31 15 50 230  8.0  9.0   2.1     8   5.7 114 1009.3  21.0  21.7  19.2   MM -0.0    MM
2017 03 31 14 50 250  9.0 11.0   2.0     8   5.4 117 1009.2  21.0  21.8  18.6   MM +1.1    MM
2017 03 31 13 50 230 10.0 12.0   2.0     8   5.2 125 1008.9  21.6  21.9  19.3   MM +1.6    MM
2017 03 31 12 50 180  9.0 12.0   2.0     8   5.1 122 1009.4  22.6  21.7  20.3   MM +0.6    MM
2017 03 31 11 50 160 11.0 14.0   2.1     8   5.3 121 1008.1  23.0  21.4  20.2   MM -1.3    MM
2017 03 31 10 50 160 13.0 15.0   2.1     6   5.3 139 1007.3  22.2  21.2  19.4   MM -3.7    MM
2017 03 31 09 50 170 13.0 16.0   2.3     8   5.7 111 1008.8  22.8  21.3  20.2   MM -2.7    MM
2017 03 31 08 50 160 11.0 14.0   2.3     7   5.7 137 1009.4  22.5  21.4  20.3   MM -2.5    MM
2017 03 31 07 50 160  9.0 11.0   2.4     8   5.7 121 1011.0  22.5  21.4  20.3   MM -1.2    MM
2017 03 31 06 50 170 11.0 13.0   2.4     7   5.7 132 1011.5  22.5  21.4  20.4   MM -0.9    MM
2017 03 31 05 50 160 12.0 13.0   2.5     7   5.5 116 1011.9  22.7  21.4  19.9   MM -1.0    MM
2017 03 31 04 50 150 12.0 14.0   2.4     7   5.5 123 1012.2  22.7  21.5  19.6   MM -1.4    MM
2017 03 31 03 50 150 12.0 14.0   2.2     6   5.2 131 1012.4  22.9  21.6  19.0   MM -1.6    MM
2017 03 31 02 50 150 12.0 15.0   2.1     6   5.1 118 1012.9  22.6  21.7  19.4   MM -1.8    MM
2017 03 31 01 50 110  7.0 12.0   1.8     6   5.3  94 1013.6  21.0  21.6  21.0   MM -1.1    MM
2017 03 31 00 50 110  9.0 12.0   1.8     6   5.0 108 1014.0  20.8  21.8  20.3   MM -1.3    MM
2017 03 30 23 50  70  7.0 11.0   1.5    10   5.1  98 1014.7  19.7  21.8  19.4   MM -0.8    MM
2017 03 30 22 50  90  9.0 10.0   1.6     5   4.9  70 1014.7  19.7  21.9  16.3   MM -1.3    MM
2017 03 30 21 50 150  5.0  8.0   1.5     5   5.2  78 1015.3  19.6  22.1  19.1   MM -1.3    MM
